"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"Réglementaire";"type d'évaluation";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité";"Latitude";"Longitude"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR07059";"Vichy";"Urbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"80.0";"79.5208333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"46.130431";"3.425694"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZAG04";"ZAG CLERMONT-FERRAND";"FR07060";"Royat Périurbaine";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"89.0";"88.6791666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"45.764111";"3.046111"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZAG04";"ZAG CLERMONT-FERRAND";"FR07061";"Riom Périurbaine";"Périurbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"74.0";"73.9166666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"45.89674";"3.122254"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAG02";"ZAG MONTPELLIER";"FR08016";"Montpellier Prés d'Arènes";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"85.0";"84.7166666667";"µg-m3";"100.0";"100";"100.0";"R";"1";"43.5915";"3.88681"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAG02";"ZAG MONTPELLIER";"FR08017";"Montpellier Périurbaine Sud (Lattes)";"Périurbaine";"O3";"Fond";"Oui";"mesures indicatives";"Moy. journalière";"84.0";"83.7583333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"43.5705";"3.9118"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAG02";"ZAG MONTPELLIER";"FR08018";"Montpellier St Gely";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"83.0";"83.0708333333";"µg-m3";"100.0";"100";"100.0";"R";"1";"43.6926";"3.80021"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZRE01";"ZR OCCITANIE";"FR08022";"Agathois-piscénois";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"85.0";"85.3416666667";"µg-m3";"100.0";"100";"100.0";"R";"1";"43.2875";"3.50484"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZRE01";"ZR OCCITANIE";"FR08023";"Biterrois-Narbonnais";"Rurale régionale";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"81.0";"80.6583333333";"µg-m3";"100.0";"100";"100.0";"R";"1";"43.4068";"3.18878"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZRE01";"ZR OCCITANIE";"FR08209";"Saze Gard Rhodanien2";"Rurale près des villes";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"72.0";"72.3958333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"43.9426";"4.67958"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAR02";"ZAR NIMES";"FR08614";"Nimes Gauzy";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"66.0";"66.0708333333";"µg-m3";"100.0";"100";"100.0";"A";"1";"43.8344";"4.3744"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAR02";"ZAR NIMES";"FR08617";"Nimes La Calmette";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"61.0";"60.8791666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"43.9254";"4.26581"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAR01";"ZAR PERPIGNAN";"FR08712";"Perpignan St Esteve";"Périurbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"93.0";"92.9041666667";"µg-m3";"100.0";"100";"100.0";"A";"1";"42.7198";"2.83988"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO OCCITANIE";"FR76ZAR01";"ZAR PERPIGNAN";"FR08714";"Perpignan Les Carmes";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"87.0";"86.8875";"µg-m3";"100.0";"100";"100.0";"A";"1";"42.6955";"2.90053"
"2026/02/19 00:00:00";"2026/02/19 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR09003";"place de VERDUN";"Urbaine";"O3";"Fond";"Oui";"mesures fixes";"Moy. journalière";"82.0";"81.7043478261";"µg-m3";"96.0";"100";"96.0";"R";"1";"46.162647";"-1.153684"
